roster_id,team,prompt_type,prompt_text
11,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
11,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose?"
11,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
11,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose?"
12,1,ToM,"You are the manager of Team 1. Your roster: RBs=4, WRs=2, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
12,1,Baseline,"You are the manager of Team 1. Your roster: RBs=4, WRs=2, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose?"
12,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=4, WRs=2, TEs=2, QBs=0. Their trade need score: 2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
12,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=4, WRs=2, TEs=2, QBs=0. Their trade need score: 2.
What trade would you propose?"
13,1,ToM,"You are the manager of Team 1. Your roster: RBs=5, WRs=2, TEs=1, QBs=0. Your trade need score: 3.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=3, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
13,1,Baseline,"You are the manager of Team 1. Your roster: RBs=5, WRs=2, TEs=1, QBs=0. Your trade need score: 3.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=3, QBs=0. Their trade need score: 0.
What trade would you propose?"
13,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=3, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=5, WRs=2, TEs=1, QBs=0. Their trade need score: 3.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
13,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=3, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=5, WRs=2, TEs=1, QBs=0. Their trade need score: 3.
What trade would you propose?"
14,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
14,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
14,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
14,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
15,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=2, WRs=4, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
15,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=2, WRs=4, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose?"
15,2,ToM,"You are the manager of Team 2. Your roster: RBs=2, WRs=4, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
15,2,Baseline,"You are the manager of Team 2. Your roster: RBs=2, WRs=4, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose?"
16,1,ToM,"You are the manager of Team 1. Your roster: RBs=5, WRs=2, TEs=2, QBs=0. Your trade need score: 3.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
16,1,Baseline,"You are the manager of Team 1. Your roster: RBs=5, WRs=2, TEs=2, QBs=0. Your trade need score: 3.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose?"
16,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=5, WRs=2, TEs=2, QBs=0. Their trade need score: 3.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
16,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=5, WRs=2, TEs=2, QBs=0. Their trade need score: 3.
What trade would you propose?"
17,1,ToM,"You are the manager of Team 1. Your roster: RBs=5, WRs=3, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
17,1,Baseline,"You are the manager of Team 1. Your roster: RBs=5, WRs=3, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose?"
17,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=5, WRs=3, TEs=2, QBs=0. Their trade need score: 2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
17,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=5, WRs=3, TEs=2, QBs=0. Their trade need score: 2.
What trade would you propose?"
18,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=4, WRs=3, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
18,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=4, WRs=3, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose?"
18,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=3, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
18,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=3, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose?"
19,1,ToM,"You are the manager of Team 1. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 2) has: RBs=5, WRs=3, TEs=2, QBs=0. Their trade need score: 2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
19,1,Baseline,"You are the manager of Team 1. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 2) has: RBs=5, WRs=3, TEs=2, QBs=0. Their trade need score: 2.
What trade would you propose?"
19,2,ToM,"You are the manager of Team 2. Your roster: RBs=5, WRs=3, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 1) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
19,2,Baseline,"You are the manager of Team 2. Your roster: RBs=5, WRs=3, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 1) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose?"
20,1,ToM,"You are the manager of Team 1. Your roster: RBs=4, WRs=5, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=3, WRs=3, TEs=0, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
20,1,Baseline,"You are the manager of Team 1. Your roster: RBs=4, WRs=5, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=3, WRs=3, TEs=0, QBs=0. Their trade need score: 0.
What trade would you propose?"
20,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=3, TEs=0, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=4, WRs=5, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
20,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=3, TEs=0, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=4, WRs=5, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose?"
21,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=3, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
21,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=3, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=1, QBs=0. Their trade need score: -2.
What trade would you propose?"
21,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=3, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
21,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=1, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=3, QBs=0. Their trade need score: -1.
What trade would you propose?"
22,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
22,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
22,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
22,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
23,1,ToM,"You are the manager of Team 1. Your roster: RBs=1, WRs=4, TEs=2, QBs=0. Your trade need score: -3.
Your opponent (Team 2) has: RBs=3, WRs=4, TEs=1, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
23,1,Baseline,"You are the manager of Team 1. Your roster: RBs=1, WRs=4, TEs=2, QBs=0. Your trade need score: -3.
Your opponent (Team 2) has: RBs=3, WRs=4, TEs=1, QBs=0. Their trade need score: -1.
What trade would you propose?"
23,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=4, TEs=1, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=1, WRs=4, TEs=2, QBs=0. Their trade need score: -3.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
23,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=4, TEs=1, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=1, WRs=4, TEs=2, QBs=0. Their trade need score: -3.
What trade would you propose?"
24,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=1, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
24,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=1, QBs=0. Their trade need score: 0.
What trade would you propose?"
24,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=1, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
24,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=1, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
25,1,ToM,"You are the manager of Team 1. Your roster: RBs=2, WRs=4, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=3, WRs=4, TEs=1, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
25,1,Baseline,"You are the manager of Team 1. Your roster: RBs=2, WRs=4, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=3, WRs=4, TEs=1, QBs=0. Their trade need score: -1.
What trade would you propose?"
25,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=4, TEs=1, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=2, WRs=4, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
25,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=4, TEs=1, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=2, WRs=4, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
26,1,ToM,"You are the manager of Team 1. Your roster: RBs=2, WRs=4, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=2, WRs=3, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
26,1,Baseline,"You are the manager of Team 1. Your roster: RBs=2, WRs=4, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=2, WRs=3, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose?"
26,2,ToM,"You are the manager of Team 2. Your roster: RBs=2, WRs=3, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=2, WRs=4, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
26,2,Baseline,"You are the manager of Team 2. Your roster: RBs=2, WRs=3, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=2, WRs=4, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
27,1,ToM,"You are the manager of Team 1. Your roster: RBs=2, WRs=0, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=3, WRs=3, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
27,1,Baseline,"You are the manager of Team 1. Your roster: RBs=2, WRs=0, TEs=2, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=3, WRs=3, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose?"
27,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=3, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=2, WRs=0, TEs=2, QBs=0. Their trade need score: 2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
