roster_id,team,rb_depth,wr_depth,te_depth,qb_depth,trade_need_score
54,1,4,4,2,0,0
54,2,3,3,2,0,0
55,1,5,3,2,0,2
55,2,5,3,2,0,2
56,1,5,4,1,0,1
56,2,5,4,2,0,1
57,1,4,4,2,0,0
57,2,4,3,2,0,1
58,1,3,3,1,0,0
58,2,2,4,2,0,-2
59,1,4,3,1,0,1
59,2,3,4,1,0,-1
60,1,5,4,2,0,1
60,2,3,4,1,0,-1
61,1,2,5,2,0,-3
61,2,4,4,2,0,0
62,1,3,4,2,0,-1
62,2,4,4,3,0,0
63,1,4,3,2,0,1
63,2,3,3,2,0,0
64,1,4,4,1,0,0
64,2,2,5,1,0,-3
65,1,3,4,2,0,-1
65,2,3,4,1,0,-1
66,1,5,4,2,0,1
66,2,2,4,2,0,-2
67,1,3,5,2,0,-2
67,2,4,4,3,0,0
68,1,4,4,3,0,0
68,2,4,3,3,0,1
69,1,4,3,3,0,1
69,2,4,5,2,0,-1
70,1,1,3,3,0,-2
70,2,4,5,2,0,-1
71,1,3,5,2,0,-2
71,2,3,4,2,0,-1
72,1,3,4,2,0,-1
72,2,4,4,3,0,0
73,1,4,5,2,0,-1
73,2,2,4,1,0,-2
74,1,2,5,2,0,-3
74,2,4,2,2,0,2
75,1,3,4,2,0,-1
75,2,4,5,1,0,-1
76,1,4,2,2,0,2
76,2,4,5,2,0,-1
77,1,3,4,1,0,-1
77,2,4,3,1,0,1
78,1,3,2,2,0,1
78,2,3,4,1,0,-1
79,1,4,3,2,0,1
79,2,3,4,2,0,-1
80,1,4,3,2,0,1
80,2,2,3,3,0,-1
81,1,3,4,2,0,-1
81,2,3,5,2,0,-2
82,1,3,4,1,0,-1
82,2,4,4,2,0,0
83,1,4,4,2,0,0
83,2,3,4,2,0,-1
84,1,3,5,2,0,-2
84,2,3,4,3,0,-1
85,1,4,4,1,0,0
85,2,4,4,2,0,0
86,1,4,3,3,0,1
86,2,3,4,2,0,-1
87,1,3,4,1,0,-1
87,2,3,4,3,0,-1
88,1,4,5,1,0,-1
88,2,4,4,2,0,0
89,1,4,4,2,0,0
89,2,3,5,2,0,-2
90,1,4,4,2,0,0
90,2,5,4,1,0,1
91,1,4,4,3,0,0
91,2,2,5,2,0,-3
92,1,5,4,2,0,1
92,2,4,5,2,0,-1
93,1,5,3,2,0,2
93,2,3,3,2,0,0
94,1,4,3,3,0,1
94,2,3,5,2,0,-2
95,1,4,5,2,0,-1
95,2,4,4,0,0,0
96,1,3,4,2,0,-1
96,2,4,5,2,0,-1
97,1,5,4,2,0,1
97,2,5,3,2,0,2
98,1,2,3,2,0,-1
98,2,4,4,2,0,0
99,1,3,4,0,0,-1
99,2,3,5,1,0,-2
100,1,4,3,2,0,1
100,2,4,3,2,0,1
